OMRÅDE;YDELSESART;TID;INDHOLD
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M10 2000M10;185915
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M11 2000M11;188600
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2000M12 2000M12;193744
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M01 2001M01;185725
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M02 2001M02;189578
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M03 2001M03;193024
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M04 2001M04;187178
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M05 2001M05;188728
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M06 2001M06;187818
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M07 2001M07;184166
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M08 2001M08;186248
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M09 2001M09;182869
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M10 2001M10;185934
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M11 2001M11;188042
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2001M12 2001M12;190426
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M01 2002M01;184503
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M02 2002M02;189197
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M03 2002M03;190728
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M04 2002M04;189393
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M05 2002M05;190081
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M06 2002M06;184089
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M07 2002M07;181954
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M08 2002M08;185820
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M09 2002M09;186424
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M10 2002M10;187969
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M11 2002M11;188901
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2002M12 2002M12;186508
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M01 2003M01;186540
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M02 2003M02;191722
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M03 2003M03;192462
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M04 2003M04;189807
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M05 2003M05;191049
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M06 2003M06;189185
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M07 2003M07;185802
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M08 2003M08;184207
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M09 2003M09;189554
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M10 2003M10;191247
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M11 2003M11;189800
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2003M12 2003M12;194665
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M01 2004M01;172103
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M02 2004M02;186553
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M03 2004M03;191351
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M04 2004M04;186016
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M05 2004M05;182984
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M06 2004M06;186128
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M07 2004M07;178354
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M08 2004M08;176326
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M09 2004M09;181536
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M10 2004M10;181321
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M11 2004M11;185121
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2004M12 2004M12;188975
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M01 2005M01;167826
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M02 2005M02;181886
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M03 2005M03;183479
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M04 2005M04;183604
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M05 2005M05;181943
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M06 2005M06;183395
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M07 2005M07;173424
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M08 2005M08;173625
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M09 2005M09;177366
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M10 2005M10;175564
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M11 2005M11;176990
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2005M12 2005M12;182018
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M01 2006M01;162257
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M02 2006M02;175659
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M03 2006M03;180033
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M04 2006M04;169696
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M05 2006M05;172585
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M06 2006M06;171955
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M07 2006M07;160406
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M08 2006M08;160638
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M09 2006M09;162815
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M10 2006M10;164054
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M11 2006M11;165509
000 Hele landet;TOT Modtagere af kontanthjælp mv. i alt;2006M12 2006M12;166362
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M01 1994M01;27694
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M02 1994M02;30087
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M03 1994M03;30766
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M04 1994M04;34500
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M05 1994M05;33946
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M06 1994M06;33796
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M07 1994M07;34271
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M08 1994M08;33829
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M09 1994M09;32984
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M10 1994M10;32455
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M11 1994M11;32573
101 København;TOT Modtagere af kontanthjælp mv. i alt;1994M12 1994M12;34671
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M01 1995M01;31707
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M02 1995M02;32767
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M03 1995M03;32764
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M04 1995M04;31843
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M05 1995M05;31713
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M06 1995M06;31723
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M07 1995M07;31808
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M08 1995M08;31483
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M09 1995M09;31132
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M10 1995M10;30932
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M11 1995M11;31108
101 København;TOT Modtagere af kontanthjælp mv. i alt;1995M12 1995M12;31767
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M01 1996M01;29992
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M02 1996M02;31251
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M03 1996M03;31325
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M04 1996M04;30894
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M05 1996M05;30674
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M06 1996M06;30514
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M07 1996M07;30844
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M08 1996M08;30497
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M09 1996M09;29924
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M10 1996M10;30215
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M11 1996M11;30598
101 København;TOT Modtagere af kontanthjælp mv. i alt;1996M12 1996M12;31540
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M01 1997M01;29336
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M02 1997M02;30606
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M03 1997M03;30866
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M04 1997M04;31103
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M05 1997M05;30785
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M06 1997M06;30517
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M07 1997M07;31138
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M08 1997M08;30787
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M09 1997M09;30585
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M10 1997M10;30684
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M11 1997M11;30678
101 København;TOT Modtagere af kontanthjælp mv. i alt;1997M12 1997M12;32040
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M01 1998M01;29976
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M02 1998M02;31504
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M03 1998M03;31336
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M04 1998M04;30733
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M05 1998M05;30090
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M06 1998M06;30874
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M07 1998M07;29742
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M08 1998M08;29658
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M09 1998M09;29319
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M10 1998M10;28837
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M11 1998M11;28978
101 København;TOT Modtagere af kontanthjælp mv. i alt;1998M12 1998M12;30056
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M01 1999M01;29254
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M02 1999M02;29779
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M03 1999M03;30249
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M04 1999M04;29949
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M05 1999M05;29569
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M06 1999M06;29782
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M07 1999M07;29831
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M08 1999M08;29914
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M09 1999M09;29848
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M10 1999M10;29868
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M11 1999M11;30082
101 København;TOT Modtagere af kontanthjælp mv. i alt;1999M12 1999M12;30455
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M01 2000M01;29547
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M02 2000M02;30379
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M03 2000M03;30631
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M04 2000M04;29886
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M05 2000M05;30118
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M06 2000M06;29884
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M07 2000M07;29557
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M08 2000M08;29881
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M09 2000M09;29474
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M10 2000M10;29497
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M11 2000M11;29532
101 København;TOT Modtagere af kontanthjælp mv. i alt;2000M12 2000M12;29853
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M01 2001M01;29315
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M02 2001M02;29797
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M03 2001M03;29954
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M04 2001M04;29304
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M05 2001M05;29312
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M06 2001M06;29297
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M07 2001M07;29216
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M08 2001M08;29275
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M09 2001M09;28750
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M10 2001M10;28941
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M11 2001M11;29224
101 København;TOT Modtagere af kontanthjælp mv. i alt;2001M12 2001M12;29297
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M01 2002M01;28537
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M02 2002M02;30641
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M03 2002M03;30411
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M04 2002M04;30500
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M05 2002M05;30463
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M06 2002M06;30343
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M07 2002M07;30562
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M08 2002M08;30504
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M09 2002M09;30827
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M10 2002M10;31331
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M11 2002M11;31041
101 København;TOT Modtagere af kontanthjælp mv. i alt;2002M12 2002M12;31350
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M01 2003M01;30913
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M02 2003M02;31975
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M03 2003M03;32284
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M04 2003M04;31589
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M05 2003M05;31598
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M06 2003M06;31542
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M07 2003M07;31702
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M08 2003M08;30880
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M09 2003M09;31639
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M10 2003M10;32139
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M11 2003M11;31911
101 København;TOT Modtagere af kontanthjælp mv. i alt;2003M12 2003M12;33457
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M01 2004M01;28434
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M02 2004M02;31618
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M03 2004M03;31748
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M04 2004M04;30913
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M05 2004M05;31084
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M06 2004M06;30583
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M07 2004M07;30226
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M08 2004M08;29625
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M09 2004M09;30070
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M10 2004M10;29742
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M11 2004M11;30316
101 København;TOT Modtagere af kontanthjælp mv. i alt;2004M12 2004M12;31716
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M01 2005M01;27285
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M02 2005M02;29668
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M03 2005M03;29835
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M04 2005M04;29304
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M05 2005M05;29146
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M06 2005M06;29336
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M07 2005M07;28457
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M08 2005M08;27834
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M09 2005M09;28583
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M10 2005M10;28112
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M11 2005M11;28336
101 København;TOT Modtagere af kontanthjælp mv. i alt;2005M12 2005M12;30259
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M01 2006M01;26288
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M02 2006M02;28324
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M03 2006M03;28755
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M04 2006M04;27102
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M05 2006M05;27738
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M06 2006M06;27321
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M07 2006M07;26005
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M08 2006M08;25874
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M09 2006M09;25561
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M10 2006M10;25996
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M11 2006M11;26276
101 København;TOT Modtagere af kontanthjælp mv. i alt;2006M12 2006M12;26394
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M01 1994M01;4090
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M02 1994M02;4220
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M03 1994M03;4219
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M04 1994M04;4201
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M05 1994M05;4095
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M06 1994M06;4127
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M07 1994M07;4238
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M08 1994M08;4200
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M09 1994M09;4009
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M10 1994M10;3897
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M11 1994M11;3949
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1994M12 1994M12;3994
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1995M01 1995M01;3928
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1995M02 1995M02;3849
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1995M03 1995M03;3947
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1995M04 1995M04;3626
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1995M05 1995M05;3689
147 Frederiksberg;TOT Modtagere af kontanthjælp mv. i alt;1995M06 1995M06;3878
